epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.9429,1.05507,1.76532,1.26962,0.55704,0.31928,0.42734,0.23638,1.36473,2.61306,1.29675,0.000658635,0.000658635,0.000658635
2,60.4693,0.95853,1.1218,1.15562,0.51823,0.5241,0.40158,0.20017,1.82293,2.39412,1.42113,0.0012597,0.0012597,0.0012597
3,79.1254,1.01339,1.00171,1.19029,0.66065,0.72713,0.66344,0.36847,1.45961,1.58354,1.30162,0.00179476,0.00179476,0.00179476
4,92.0996,0.93061,0.84467,1.15974,0.86123,0.70482,0.85601,0.47372,1.47763,1.34744,1.31509,0.001703,0.001703,0.001703
5,105.544,0.87935,0.75359,1.11587,0.85002,0.78526,0.85852,0.47119,1.38426,1.30001,1.23462,0.001604,0.001604,0.001604
6,119.465,0.88444,0.73227,1.12353,0.91593,0.85322,0.9047,0.53171,1.34167,0.95445,1.18265,0.001505,0.001505,0.001505
7,133.434,0.8086,0.62148,1.08658,0.8051,0.88554,0.88676,0.51552,1.34209,1.10579,1.2209,0.001406,0.001406,0.001406
8,147.743,0.78963,0.60019,1.07073,0.82897,0.86747,0.87651,0.50798,1.3436,1.04875,1.20876,0.001307,0.001307,0.001307
9,160.867,0.77225,0.60951,1.06186,0.89643,0.87349,0.92678,0.55499,1.2443,0.96261,1.14829,0.001208,0.001208,0.001208
10,174.013,0.76721,0.552,1.06673,0.88321,0.9111,0.94603,0.57343,1.25913,0.79066,1.15068,0.001109,0.001109,0.001109
11,216.662,0.80364,0.66275,1.11291,0.88219,0.85542,0.92708,0.54499,1.32578,0.86399,1.1712,0.00101,0.00101,0.00101
12,230.797,0.78363,0.6078,1.07981,0.95099,0.86145,0.95346,0.58165,1.29872,0.81408,1.20751,0.000911,0.000911,0.000911
13,246.952,0.74626,0.52257,1.07156,0.95452,0.85542,0.96584,0.61474,1.26431,0.75433,1.16134,0.000812,0.000812,0.000812
14,260.411,0.74597,0.50552,1.09628,0.92397,0.89759,0.96135,0.60345,1.20321,0.78755,1.13337,0.000713,0.000713,0.000713
15,273.952,0.69965,0.48245,1.04139,0.92802,0.92169,0.96685,0.61921,1.19051,0.72074,1.14413,0.000614,0.000614,0.000614
16,287.168,0.67897,0.45,1.03062,0.93573,0.92169,0.97005,0.635,1.1671,0.67115,1.1026,0.000515,0.000515,0.000515
17,306.783,0.65898,0.43437,1.0215,0.94773,0.90964,0.96786,0.63511,1.17737,0.65805,1.1214,0.000416,0.000416,0.000416
18,322.418,0.63581,0.40173,1.00781,0.96438,0.91566,0.97012,0.63275,1.19834,0.66611,1.1152,0.000317,0.000317,0.000317
19,338.568,0.62246,0.38925,0.99963,0.95778,0.92771,0.97915,0.64495,1.181,0.63088,1.10786,0.000218,0.000218,0.000218
20,359.001,0.59475,0.37418,0.98664,0.95669,0.93148,0.98069,0.65335,1.15566,0.59659,1.09652,0.000119,0.000119,0.000119
